Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/1/00,AQS,360610010,1,13.2,ug/m3 LC,53,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/2/00,AQS,360610010,1,9.5,ug/m3 LC,40,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/3/00,AQS,360610010,1,6.9,ug/m3 LC,29,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/4/00,AQS,360610010,1,7,ug/m3 LC,29,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/5/00,AQS,360610010,1,10,ug/m3 LC,42,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/6/00,AQS,360610010,1,7.1,ug/m3 LC,30,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/7/00,AQS,360610010,1,14.3,ug/m3 LC,56,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/8/00,AQS,360610010,1,39.6,ug/m3 LC,111,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/9/00,AQS,360610010,1,41.2,ug/m3 LC,115,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/10/00,AQS,360610010,1,8.2,ug/m3 LC,34,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/11/00,AQS,360610010,1,9.1,ug/m3 LC,38,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/12/00,AQS,360610010,1,9.8,ug/m3 LC,41,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/13/00,AQS,360610010,1,10.3,ug/m3 LC,43,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/14/00,AQS,360610010,1,18.1,ug/m3 LC,64,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/15/00,AQS,360610010,1,20.8,ug/m3 LC,69,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/16/00,AQS,360610010,1,20.1,ug/m3 LC,68,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/17/00,AQS,360610010,1,9.3,ug/m3 LC,39,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/18/00,AQS,360610010,1,7.9,ug/m3 LC,33,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/19/00,AQS,360610010,1,10.3,ug/m3 LC,43,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/20/00,AQS,360610010,1,12.3,ug/m3 LC,51,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/21/00,AQS,360610010,1,14.7,ug/m3 LC,56,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/22/00,AQS,360610010,1,11.9,ug/m3 LC,50,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
3/23/00,AQS,360610010,1,30.8,ug/m3 LC,90,,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.73954592,-73.98569447
