Date,Price,Open,High,Low,Vol.,Change %
1/8/13,"13,328.85","13,377.42","13,377.42","13,293.13",129.57M,-0.41%
1/9/13,"13,390.51","13,329.92","13,416.55","13,329.08",123.07M,0.46%
1/10/13,"13,471.22","13,391.82","13,478.20","13,382.29",133.52M,0.60%
1/11/13,"13,488.43","13,471.45","13,496.68","13,439.97",119.20M,0.13%
1/14/13,"13,507.32","13,488.43","13,520.18","13,459.84",118.46M,0.14%
1/15/13,"13,534.89","13,507.32","13,546.37","13,445.80",102.28M,0.20%
1/16/13,"13,511.23","13,534.89","13,534.89","13,468.96",118.54M,-0.17%
1/17/13,"13,596.02","13,511.23","13,633.89","13,510.24",183.90M,0.63%
1/18/13,"13,649.70","13,596.02","13,649.93","13,571.86",260.90M,0.39%
1/22/13,"13,712.21","13,649.70","13,712.21","13,622.96",144.30M,0.46%
1/23/13,"13,779.33","13,712.21","13,794.29","13,710.13",104.49M,0.49%
1/24/13,"13,825.33","13,779.33","13,879.66","13,779.33",124.78M,0.33%
1/25/13,"13,895.98","13,825.33","13,895.98","13,825.33",130.30M,0.51%
1/28/13,"13,881.93","13,895.98","13,915.72","13,862.57",113.57M,-0.10%
1/29/13,"13,954.42","13,881.93","13,969.99","13,880.01",108.23M,0.52%
1/30/13,"13,910.42","13,954.42","13,966.13","13,896.95",117.20M,-0.32%
1/31/13,"13,860.58","13,910.42","13,941.06","13,860.58",142.60M,-0.36%
2/1/13,"14,009.79","13,860.58","14,019.78","13,860.58",128.42M,1.08%
2/4/13,"13,880.08","14,009.79","14,009.79","13,866.83",130.42M,-0.93%
2/5/13,"13,979.30","13,880.08","14,013.60","13,880.08",134.39M,0.71%
2/6/13,"13,986.52","13,979.30","13,991.61","13,913.18",127.56M,0.05%
2/7/13,"13,944.05","13,986.52","13,988.06","13,852.20",118.53M,-0.30%
2/8/13,"13,992.97","13,944.05","14,022.62","13,944.05",99.86M,0.35%
2/11/13,"13,971.24","13,992.97","13,992.97","13,940.41",75.09M,-0.16%
2/12/13,"14,018.70","13,971.24","14,038.97","13,968.94",117.18M,0.34%
2/13/13,"13,982.91","14,018.70","14,029.35","13,945.78",130.52M,-0.26%
2/14/13,"13,973.39","13,982.91","13,990.36","13,921.94",114.80M,-0.07%
2/15/13,"13,981.76","13,973.39","14,001.93","13,906.73",195.67M,0.06%
2/19/13,"14,035.67","13,981.76","14,044.82","13,977.90",136.41M,0.39%
2/20/13,"13,927.54","14,035.67","14,058.27","13,919.28",138.54M,-0.77%
2/21/13,"13,880.62","13,927.54","13,927.54","13,834.40",131.41M,-0.34%
2/22/13,"14,000.57","13,880.62","14,001.19","13,880.62",139.85M,0.86%
2/25/13,"13,784.17","14,000.57","14,081.58","13,784.01",152.19M,-1.55%
2/26/13,"13,900.13","13,784.17","13,918.44","13,784.17",132.59M,0.84%
2/27/13,"14,075.37","13,900.13","14,104.86","13,880.19",107.01M,1.26%
2/28/13,"14,054.49","14,075.37","14,149.15","14,050.18",177.15M,-0.15%
3/1/13,"14,089.66","14,054.49","14,107.09","13,937.60",125.92M,0.25%
